Band:,Album:,Song:,Lyric:,Location:,Coordinates,,X,Y
Steely Dan,Countdown To Ecstasy (1973),Show Biz Kids,"""Well I've been around the world and I've been in the <b><u>Washington Zoo</b></u>""",Smithsonian National Zoological Park,"[ 38.92988899750066, -77.0499372323375 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Show Biz Kids"", ""lyric"": ""Well I've been around the world and I've been in the <b><u>Washington Zoo</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 38.92988899750066, -77.0499372323375 ] } },",38.929889,-77.04993723
Steely Dan,Countdown To Ecstasy (1973),My Old School,"""I remember the 35 sweet goodbyes when you put me on the Wolverine up to <b><u>Annandale</b></u>""","Annandale-on-Hudson, New York","[ 42.02322836050686, -73.9109316601431 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""My Old School"", ""lyric"": ""I remember the 35 sweet goodbyes when you put me on the Wolverine up to <b><u>Annandale</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 42.02322836050686, -73.9109316601431 ] } },",42.02322836,-73.91093166
Steely Dan,Countdown To Ecstasy (1973),My Old School,"""I'm gonna take her down to <b><u>Mexico</b></u>""",Mexico,"[ 23.320377195343994, -102.39175458873228 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""My Old School"", ""lyric"": ""I'm gonna take her down to <b><u>Mexico</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 23.320377195343994, -102.39175458873228 ] } },",23.3203772,-102.3917546
Steely Dan,Countdown To Ecstasy (1973),My Old School,"""She said, whoa, no, <b><u>Guadalajara</b></u> won't do, now""",Guadalajara,"[ 20.67009113554218, -103.34420029690428 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""My Old School"", ""lyric"": ""She said, whoa, no, <b><u>Guadalajara</b></u> won't do, now"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 20.67009113554218, -103.34420029690428 ] } },",20.67009114,-103.3442003
Steely Dan,Countdown To Ecstasy (1973),My Old School,"""<b><u>California</b></u> tumbles into the sea""",California,"[ 37.53508750610774, -120.26037484512065 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""My Old School"", ""lyric"": ""<b><u>California</b></u> tumbles into the sea"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 37.53508750610774, -120.26037484512065 ] } },",37.53508751,-120.2603748
Steely Dan,Countdown To Ecstasy (1973),Pearl Of The Quarter,"""On the water down in <b><u>New Orleans</b></u>""",New Orleans,"[ 29.974430767562932, -90.05900294237034 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Pearl Of The Quarter"", ""lyric"": ""On the water down in <b><u>New Orleans</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 29.974430767562932, -90.05900294237034 ] } },",29.97443077,-90.05900294
Steely Dan,Countdown To Ecstasy (1973),King Of The World,"""Any man left on the <b><u>Rio Grande</b></u> is the king of the world as far as I know""",Rio Grande,"[ 29.519336096600867, -101.25198099895634 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""King Of The World"", ""lyric"": ""Any man left on the <b><u>Rio Grande</b></u> is the king of the world as far as I know"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 29.519336096600867, -101.25198099895634 ] } },",29.5193361,-101.251981
Steely Dan,Countdown To Ecstasy (1973),King Of The World,"""You and I will spend this day driving in my car through the ruins of <b><u>Santa Fe</b></u>""",Santa Fe,"[ 35.67158873691418, -105.9517967309188 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""King Of The World"", ""lyric"": ""You and I will spend this day driving in my car through the ruins of <b><u>Santa Fe</b></u>"", ""artist"": ""Steely Dan"", ""year"": ""1973"", ""album"": ""Countdown To Ecstasy"", ""count"": 10, ""pic"": ""<img src='Steely_CountdownToEcstasy.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 35.67158873691418, -105.9517967309188 ] } },",35.67158874,-105.9517967
Steely Dan,Pretzel Logic (1974),Barrytown,"""But over there in <b><u>Barrytown</b></u> they do things very strange""","Barrytown, New York","[ 41.99952588303772, -73.92482456493869 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""Barrytown"", ""lyric"": ""But over there in <b><u>Barrytown</b></u> they do things very strange"", ""artist"": ""Steely Dan"", ""year"": ""1974"", ""album"": ""Pretzel Logic"", ""count"": 10, ""pic"": ""<img src='Steely_PretzelLogic.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 41.99952588303772, -73.92482456493869 ] } },",41.99952588,-73.92482456
Steely Dan,Pretzel Logic (1974),East St. Louis Toodle-Oo,"""wah wah wahooahhhhh, WaH Wahp!""",East St. Louis,"[ 38.62231219658293, -90.15240567375557 ]","{ ""type"": ""Feature"", ""properties"": { ""song"": ""East St. Louis Toodle-Oo"", ""lyric"": ""wah wah wahooahhhhh, WaH Wahp!"", ""artist"": ""Steely Dan"", ""year"": ""1974"", ""album"": ""Pretzel Logic"", ""count"": 10, ""pic"": ""<img src='Steely_PretzelLogic.png' style='height:175px; display: block; margin-left: auto; margin-right: auto; border: 5px solid #555;'>"" }, ""geometry"": { ""type"": ""Point"", ""coordinates"":[ 38.62231219658293, -90.15240567375557 ] } },",38.6223122,-90.15240567
